"Personas mayores: Centros, plazas y personas usuarias de la C.A. de Euskadi por tipo de población, centros, plazas, personas usuarias, territorio histórico, titularidad y periodo"

"tipo de población","centros, plazas, personas usuarias","territorio histórico","titularidad","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Autónomas","-Plazas","Bizkaia","Público",304,284,355,219,20,19,19,19,19,:,:,28,34,58,70,78,62,70,76,76,70,71,60,72,71,64,74,76,79,79
"Autónomas","-Plazas","Bizkaia","Privado",658,705,223,504,783,1075,1060,465,438,:,:,443,272,266,199,183,240,101,96,95,95,95,89,79,81,57,59,59,45,45
"Autónomas","-Plazas","Gipuzkoa","Total",100,158,168,173,250,300,307,241,232,304,345,441,480,549,555,628,639,691,696,519,561,560,597,560,577,570,563,573,555,582
"Autónomas","-Plazas","Gipuzkoa","Público",43,102,103,52,147,177,193,224,215,:,:,403,465,507,514,587,:,:,:,519,561,560,597,560,577,570,563,573,555,582
"Autónomas","-Plazas","Gipuzkoa","Privado",57,56,65,121,103,123,114,17,17,:,:,38,15,42,41,41,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"Autónomas","-Personas usuarias","C.A. de Euskadi","Total",1466,1534,1084,1207,1443,1851,1893,1231,1165,1063,1118,1282,1164,1206,1069,1014,1065,1066,1074,921,863,844,848,846,814,827,802,806,773,791
"Autónomas","-Personas usuarias","C.A. de Euskadi","Público",524,605,624,461,379,467,486,540,520,582,675,795,840,865,821,861,885,875,973,816,769,750,764,761,731,758,740,745,717,736
"Autónomas","-Personas usuarias","C.A. de Euskadi","Privado",942,929,460,746,1064,1384,1407,691,645,481,443,487,324,341,248,153,180,191,101,105,94,94,84,85,83,69,62,61,56,55
"Autónomas","-Personas usuarias","Araba/Álava","Total",416,441,430,432,476,559,588,575,554,437,443,456,457,455,390,362,369,353,336,358,310,280,307,285,255,265,230,222,231,248
"Autónomas","-Personas usuarias","Araba/Álava","Público",195,236,225,228,231,288,301,313,312,337,380,392,392,385,349,344,:,:,:,336,294,265,292,270,239,250,222,212,213,228
"Autónomas","-Personas usuarias","Araba/Álava","Privado",221,205,205,204,245,271,287,262,242,100,63,64,65,70,41,18,:,:,:,22,16,15,15,15,16,15,8,10,18,20
"Autónomas","-Personas usuarias","Bizkaia","Total",956,946,511,613,730,1005,1023,427,400,366,364,412,271,279,223,163,196,152,157,158,135,144,125,131,134,113,124,124,110,108
"Autónomas","-Personas usuarias","Bizkaia","Público",300,278,310,191,13,11,11,12,12,:,:,19,25,39,47,57,53,67,74,75,57,65,56,61,67,59,70,73,72,73
"Autónomas","-Personas usuarias","Bizkaia","Privado",656,668,201,422,717,994,1012,415,388,:,:,393,246,240,176,106,143,85,83,83,78,79,69,70,67,54,54,51,38,35
"Autónomas","-Personas usuarias","Gipuzkoa","Total",94,147,143,162,237,287,282,229,211,260,311,414,436,472,456,489,500,561,581,405,418,420,416,430,425,449,448,460,432,435
"Autónomas","-Personas usuarias","Gipuzkoa","Público",29,91,89,42,135,168,174,215,196,:,:,384,423,441,425,460,:,:,:,405,418,420,416,430,425,449,448,460,432,435
"Autónomas","-Personas usuarias","Gipuzkoa","Privado",65,56,54,120,102,119,108,14,15,:,:,30,13,31,31,29,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"Dependientes","-Centros","C.A. de Euskadi","Total",24,28,12,21,26,30,30,33,29,31,32,32,28,29,28,29,27,28,27,14,14,15,13,13,14,9,9,12,11,13
"Dependientes","-Centros","C.A. de Euskadi","Público",5,5,0,5,10,11,11,14,13,13,13,13,12,14,13,14,12,12,10,1,1,2,1,1,2,2,2,3,3,4
"Dependientes","-Centros","C.A. de Euskadi","Privado",19,23,12,16,16,19,19,19,16,18,19,19,16,15,15,15,15,16,17,13,13,13,12,12,12,7,7,9,8,9
"Dependientes","-Centros","Araba/Álava","Total",4,4,1,3,4,5,5,6,6,7,7,7,9,9,8,8,8,8,8,3,3,3,2,2,2,2,2,2,2,3
"Dependientes","-Centros","Araba/Álava","Público",3,3,0,2,3,4,4,5,5,5,5,5,6,6,5,5,5,5,5,1,1,1,:,:,:,:,:,:,:,1
"Dependientes","-Centros","Araba/Álava","Privado",1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
"Dependientes","-Centros","Bizkaia","Total",14,16,3,10,13,13,12,12,10,10,11,11,9,9,9,10,10,10,10,3,3,3,2,2,3,2,2,3,3,3
"Dependientes","-Centros","Bizkaia","Público",2,2,0,3,4,4,4,4,3,3,3,3,3,5,5,6,6,6,4,:,:,:,:,:,1,1,1,2,2,2
"Dependientes","-Centros","Bizkaia","Privado",12,14,3,7,9,9,8,8,7,7,8,8,6,4,4,4,4,4,6,3,3,3,2,2,2,1,1,1,1,1
"Dependientes","-Centros","Gipuzkoa","Total",6,8,8,8,9,12,13,15,13,14,14,14,10,11,11,11,9,10,9,8,8,9,9,9,9,5,5,7,6,7
"Dependientes","-Centros","Gipuzkoa","Público",0,0,0,0,3,3,3,5,5,5,5,5,3,3,3,3,1,1,:,:,:,1,1,1,1,1,1,1,1,1
"Dependientes","-Centros","Gipuzkoa","Privado",6,8,8,8,6,9,10,10,8,9,9,9,7,8,8,8,8,9,8,8,8,8,8,8,8,4,4,6,5,6
"Dependientes","-Plazas","C.A. de Euskadi","Total",1686,1843,675,1521,1876,2079,2090,2158,1978,2105,2139,2092,2181,2182,2156,2407,2232,2231,1835,772,764,792,784,799,803,480,480,601,561,674
"Dependientes","-Plazas","C.A. de Euskadi","Público",668,668,0,667,1033,1072,1054,1086,947,929,949,949,1047,1381,1365,1575,1355,1326,929,8,2,11,6,6,10,10,10,110,110,204
"Dependientes","-Plazas","C.A. de Euskadi","Privado",1018,1175,675,854,843,1007,1036,1072,1031,1176,1190,1143,1134,801,791,832,877,905,906,764,762,781,778,793,793,470,470,491,451,470
"Dependientes","-Plazas","Araba/Álava","Total",408,415,65,373,420,429,431,409,444,475,475,409,577,571,553,553,552,498,426,46,30,43,38,38,38,38,38,38,38,138
"Dependientes","-Plazas","Araba/Álava","Público",348,348,0,308,322,328,329,307,307,314,314,314,468,468,453,453,:,:,:,8,2,5,:,:,:,:,:,:,:,100
"Dependientes","-Plazas","Araba/Álava","Privado",60,67,65,65,98,101,102,102,137,161,161,95,109,103,100,100,:,:,:,38,28,38,38,38,38,38,38,38,38,38
"Dependientes","-Plazas","Bizkaia","Total",915,975,143,650,863,892,835,832,647,632,673,680,823,816,815,1025,999,1024,733,55,55,62,54,54,58,36,36,136,136,136
"Dependientes","-Plazas","Bizkaia","Público",320,320,0,359,498,500,499,499,360,:,:,380,380,714,713,923,897,922,535,:,:,:,:,:,4,4,4,104,104,104
"Dependientes","-Plazas","Bizkaia","Privado",595,655,143,291,365,392,336,333,287,:,:,300,443,102,102,102,102,102,198,55,55,62,54,54,54,32,32,32,32,32
"Dependientes","-Plazas","Gipuzkoa","Total",363,453,467,498,593,758,824,917,887,998,991,1003,781,795,788,829,681,709,676,671,679,687,692,707,707,406,406,427,387,400
"Dependientes","-Plazas","Gipuzkoa","Público",0,0,0,0,213,244,226,280,280,:,:,255,199,199,199,199,:,:,:,:,:,6,6,6,6,6,6,6,6,0
"Dependientes","-Plazas","Gipuzkoa","Privado",363,453,467,498,380,514,598,637,607,:,:,748,582,596,589,630,:,:,:,671,679,681,686,701,701,400,400,421,381,400
"Dependientes","-Personas usuarias","C.A. de Euskadi","Total",1998,2150,644,1476,1761,1866,2014,2075,1854,1941,2005,1910,1906,2005,2034,2243,2120,2100,1764,731,728,732,753,790,773,463,406,517,514,540
"Dependientes","-Personas usuarias","C.A. de Euskadi","Público",781,661,0,652,984,1042,1009,1036,900,861,878,828,984,1255,1302,1458,1306,1278,897,8,2,6,6,6,6,6,4,92,94,178
"Dependientes","-Personas usuarias","C.A. de Euskadi","Privado",1217,1489,644,824,777,824,1005,1039,954,1080,1127,1082,922,750,732,785,814,822,867,723,726,726,747,784,767,457,402,425,420,362
"Dependientes","-Personas usuarias","Araba/Álava","Total",442,450,65,362,417,421,419,390,400,424,414,399,555,519,526,520,542,488,424,37,29,27,37,37,35,38,36,36,28,123
"Dependientes","-Personas usuarias","Araba/Álava","Público",382,344,0,300,319,320,317,291,302,302,298,304,455,428,444,436,:,:,:,8,2,0,:,:,:,:,:,:,:,86
