"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"Albiztur","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Albiztur","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Alegia","Total",4,4,4,3,3,4,4,1
"Alegia","Violencia ejercida por pareja / expareja",:,4,2,2,2,3,2,:
"Alegia","Violencia intrafamiliar",:,0,2,1,1,1,2,1
"Alegia","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Alegría-Dulantzi","Total",10,7,9,8,11,7,10,4
"Alegría-Dulantzi","Violencia ejercida por pareja / expareja",:,4,6,5,8,4,9,4
"Alegría-Dulantzi","Violencia intrafamiliar",:,3,3,1,3,2,1,:
"Alegría-Dulantzi","Violencia sexual en otros tipos de relación(*)",:,0,0,2,0,1,0,:
"Alkiza","Total",0,0,0,0,0,0,0,:
"Alkiza","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Alkiza","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Alkiza","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Alonsotegi","Total",4,11,4,9,5,4,11,16
"Alonsotegi","Violencia ejercida por pareja / expareja",:,8,3,9,4,3,7,11
"Alonsotegi","Violencia intrafamiliar",:,3,1,0,1,1,4,3
"Alonsotegi","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,2
"Altzaga","Total",0,0,0,0,0,2,0,:
"Altzaga","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Altzaga","Violencia intrafamiliar",:,0,0,0,0,2,0,:
"Altzaga","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Altzo","Total",0,0,0,0,0,0,1,:
"Altzo","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,1,:
"Altzo","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Altzo","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Amezketa","Total",0,1,1,1,0,0,0,1
"Amezketa","Violencia ejercida por pareja / expareja",:,0,1,1,0,0,0,1
"Amezketa","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Amezketa","Violencia sexual en otros tipos de relación(*)",:,1,0,0,0,0,0,:
"Amorebieta-Etxano","Total",38,36,32,34,56,46,79,74
"Amorebieta-Etxano","Violencia ejercida por pareja / expareja",:,25,25,25,40,33,49,54
"Amorebieta-Etxano","Violencia intrafamiliar",:,8,7,8,13,11,27,11
"Amorebieta-Etxano","Violencia sexual en otros tipos de relación(*)",:,3,0,1,3,2,3,9
"Amoroto","Total",0,2,0,0,1,0,0,1
"Amoroto","Violencia ejercida por pareja / expareja",:,1,0,0,0,0,0,1
"Amoroto","Violencia intrafamiliar",:,1,0,0,1,0,0,:
"Amoroto","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Amurrio","Total",0,20,19,23,26,26,46,29
"Amurrio","Violencia ejercida por pareja / expareja",:,14,16,9,17,19,32,24
"Amurrio","Violencia intrafamiliar",:,6,3,12,5,6,13,3
"Amurrio","Violencia sexual en otros tipos de relación(*)",:,0,0,2,4,1,1,2
"Andoain","Total",26,30,32,22,41,35,39,28
"Andoain","Violencia ejercida por pareja / expareja",:,23,24,19,33,29,27,16
"Andoain","Violencia intrafamiliar",:,7,8,3,6,3,8,7
"Andoain","Violencia sexual en otros tipos de relación(*)",:,0,0,0,2,3,4,5
"Anoeta","Total",3,1,3,3,2,2,7,6
"Anoeta","Violencia ejercida por pareja / expareja",:,1,3,3,2,1,6,5
"Anoeta","Violencia intrafamiliar",:,0,0,0,0,0,1,1
"Anoeta","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,1,0,:
"Antzuola","Total",3,4,3,2,2,2,0,2
"Antzuola","Violencia ejercida por pareja / expareja",:,4,2,2,1,2,0,1
"Antzuola","Violencia intrafamiliar",:,0,1,0,1,0,0,1
"Antzuola","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Añana","Total",0,0,0,0,0,0,0,:
"Añana","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Añana","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Añana","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Arakaldo","Total",0,0,0,0,0,0,2,:
"Arakaldo","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Arakaldo","Violencia intrafamiliar",:,0,0,0,0,0,2,:
"Arakaldo","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Arama","Total",0,0,1,0,0,0,0,:
"Arama","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Arama","Violencia intrafamiliar",:,0,1,0,0,0,0,:
"Arama","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Aramaio","Total",0,1,1,2,0,1,0,2
"Aramaio","Violencia ejercida por pareja / expareja",:,0,0,1,0,1,0,2
"Aramaio","Violencia intrafamiliar",:,0,1,1,0,0,0,:
"Aramaio","Violencia sexual en otros tipos de relación(*)",:,1,0,0,0,0,0,:
"Arantzazu","Total",0,3,0,2,0,3,0,:
"Arantzazu","Violencia ejercida por pareja / expareja",:,3,0,1,0,3,0,:
"Arantzazu","Violencia intrafamiliar",:,0,0,1,0,0,0,:
"Arantzazu","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
