Año;Ámbito territorial;Magnitud;Valor
1984;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,7
1985;"Gipuzkoa";"Defunciones Totales";4979
1985;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,2
1986;"Gipuzkoa";"Defunciones Totales";4971
1986;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,2
1987;"Gipuzkoa";"Defunciones Totales";4901
1987;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,1
1988;"Gipuzkoa";"Defunciones Totales";5288
1988;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,7
1989;"Gipuzkoa";"Defunciones Totales";5073
1989;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,4
1990;"Gipuzkoa";"Defunciones Totales";5131
1990;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,6
1991;"Gipuzkoa";"Defunciones Totales";5527
1991;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,2
1992;"Gipuzkoa";"Defunciones Totales";5455
1992;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,1
1993;"Gipuzkoa";"Defunciones Totales";5500
1993;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,1
1994;"Gipuzkoa";"Defunciones Totales";5523
1994;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,2
1995;"Gipuzkoa";"Defunciones Totales";5627
1995;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,3
1996;"Gipuzkoa";"Defunciones Totales";5931
1996;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,8
1997;"Gipuzkoa";"Defunciones Totales";5734
1997;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,5
1998;"Gipuzkoa";"Defunciones Totales";5976
1998;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,9
1999;"Gipuzkoa";"Defunciones Totales";6014
1999;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,9
2000;"Gipuzkoa";"Defunciones Totales";5837
2000;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,7
2001;"Gipuzkoa";"Defunciones Totales";5860
2001;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,7
2002;"Gipuzkoa";"Defunciones Totales";6023
2002;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,9
2003;"Gipuzkoa";"Defunciones Totales";6264
2003;"Gipuzkoa";"Tasa % por 1000 Habitantes";9,2
2004;"Gipuzkoa";"Defunciones Totales";6021
2004;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,8
2005;"Gipuzkoa";"Defunciones Totales";6116
2005;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,9
2006;"Gipuzkoa";"Defunciones Totales";5899
2006;"Gipuzkoa";"Tasa % por 1000 Habitantes";8,6
2007;"Gipuzkoa";"Defunciones Totales";6200
2007;"Gipuzkoa";"Tasa % por 1000 Habitantes";9
2008;"Gipuzkoa";"Defunciones Totales";6268
2008;"Gipuzkoa";"Tasa % por 1000 Habitantes";9
2009;"Gipuzkoa";"Defunciones Totales";6265
2009;"Gipuzkoa";"Tasa % por 1000 Habitantes";9
2010;"Gipuzkoa";"Defunciones Totales";6130
