Año;Ocupacion;Sexo;Ámbito territorial;Magnitud;Valor
2018;"Empresaria";"Mujer";"Gipuzkoa";"%";35,7
2024;"Empresaria";"Mujer";"Gipuzkoa";"%";40
2017;"Empresaria";"Mujer";"Gipuzkoa";"%";36,2
2013;"Empresaria";"Mujer";"Gipuzkoa";"%";34,5
2016;"Empresaria";"Mujer";"Gipuzkoa";"%";35,6
2012;"Empresaria";"Mujer";"Gipuzkoa";"%";35,6
2010;"Empresaria";"Mujer";"Gipuzkoa";"%";30,5
2011;"Empresaria";"Mujer";"Gipuzkoa";"%";32,6
2020;"Empresaria";"Mujer";"Gipuzkoa";"%";33,4
2014;"Empresaria";"Mujer";"Gipuzkoa";"%";36,4
2015;"Empresaria";"Mujer";"Gipuzkoa";"%";33,2
2023;"Empresaria";"Mujer";"Gipuzkoa";"%";35,3
