Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";45,4
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";42,2
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";42,9
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";40
2023;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";6,2
2021;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";5,3
2025;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";5,8
2024;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";4,5
2020;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";5,7
2022;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";5,3
2019;"H - Programar en un lenguaje de programación";"Total";"Total";"C.A. de Euskadi";"%";5,6
2020;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";5,7
2021;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";5,7
2019;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";5,3
2024;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";3,7
2023;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";4,3
2025;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";4,9
2022;"H - Programar en un lenguaje de programación";"Total";"Total";"Araba/Álava";"%";4,7
2024;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";4,9
2019;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";5,8
2022;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";5,1
2023;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";6,9
2025;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";6,5
2021;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";5,2
2020;"H - Programar en un lenguaje de programación";"Total";"Total";"Bizkaia";"%";5,7
2025;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";5,2
2019;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";5,2
2024;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";4,1
2020;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";5,6
2022;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";5,7
2021;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";5,2
2023;"H - Programar en un lenguaje de programación";"Total";"Total";"Gipuzkoa";"%";6,1
2023;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";41,9
2025;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";42,4
2020;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";41,1
2019;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";41,9
2021;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";44,4
2024;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";42,7
2022;"G - Usar hojas de cálculo";"Total";"Total";"C.A. de Euskadi";"%";42,2
2024;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";41,5
2022;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";44,9
2021;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";44,1
2019;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";42,9
2025;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";41,7
2020;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";39,7
2023;"G - Usar hojas de cálculo";"Total";"Total";"Araba/Álava";"%";37,4
2019;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";41,1
2022;"G - Usar hojas de cálculo";"Total";"Total";"Bizkaia";"%";40,9
